id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,iso3,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
,,#date+year,,,,,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,#country+code,,#region+name,,,#date+start,#date+end,,,,,#affected+killed,,,,
120816,IRN-1990-1-260-10000,1990,1,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,r 20/4,,,,KDPI,1,Sardasht town,Sardasht,West Azarbaijan province,Sardasht county,36.155278,45.478889,POINT (45.478889 36.155278),181891,Iran,IRN,630,Middle East,1,1,1990-04-17 00:00:00.000,1990-04-17 00:00:00.000,0,0,0,0,0,4,0,630,
115843,IRN-1990-1-260-2,1990,1,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,r 25/5,,,,KDPI,1,Urmia town,Orumiyeh,West Azarbaijan province,Urmia county,37.555278,45.072500,POINT (45.0725 37.555278),184051,Iran,IRN,630,Middle East,1,1,1990-05-18 00:00:00.000,1990-05-18 00:00:00.000,0,1,0,0,1,15,1,630,
115822,IRN-1990-1-260-4,1990,1,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,r 14/6,,,,KDPI,1,Naqadeh town,"near Piranshahr to the nearby town of Naqadeh, 580 km (360 miles) northwest of Tehran",West Azarbaijan province,Naqadeh county,36.955278,45.388056,POINT (45.388056 36.955278),182611,Iran,IRN,630,Middle East,1,2,1990-06-05 00:00:00.000,1990-06-10 00:00:00.000,0,2,0,0,2,50,2,630,
115821,IRN-1990-1-260-3,1990,1,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,r 9/6,,,,KDPI,1,Sardasht town,near Sardasht,West Azarbaijan province,Sardasht county,36.155278,45.478889,POINT (45.478889 36.155278),181891,Iran,IRN,630,Middle East,1,1,1990-06-07 00:00:00.000,1990-06-07 00:00:00.000,0,1,0,0,1,2,1,630,
115844,IRN-1990-1-260-5,1990,1,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,r 20/6,,,,"KDPI, government",2,Javanrud town,"near Javanrud, 500 km (310 miles) southwest of Tehran",Bakhtaran province,Javanrud county,34.806667,46.488611,POINT (46.488611 34.806667),179733,Iran,IRN,630,Middle East,2,2,1990-06-16 00:00:00.000,1990-06-20 00:00:00.000,0,0,0,18,18,22,18,630,
115494,IRN-1990-1-260-6.1,1990,1,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,1,"""Reuters News,1990-06-20,IRAN, KURDISH REBELS REPORT BATTLES IN WESTERN IRAN.""",Reuters News,1990-06-20,"IRAN, KURDISH REBELS REPORT BATTLES IN WESTERN IRAN.",KDPI,2,Saqqez town,near the towns of Saqqez and Oshnoviyeh,Kordestan province,Saqqez county,36.246389,46.266389,POINT (46.266389 36.246389),181893,Iran,IRN,630,Middle East,2,2,1990-06-16 00:00:00.000,1990-06-20 00:00:00.000,0,1,0,0,1,1,1,630,
120886,IRN-1990-1-260-6.2,1990,1,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,1,"""Reuters News,1990-06-20,IRAN, KURDISH REBELS REPORT BATTLES IN WESTERN IRAN.""",Reuters News,1990-06-20,"IRAN, KURDISH REBELS REPORT BATTLES IN WESTERN IRAN.",KDPI,2,Oshnoviyeh town,near the towns of Saqqez and Oshnoviyeh,West Azarbaijan province,Oshnoviyeh county,37.039700,45.098300,POINT (45.0983 37.0397),183331,Iran,IRN,630,Middle East,2,2,1990-06-16 00:00:00.000,1990-06-20 00:00:00.000,0,1,0,0,1,1,1,630,
115501,IRN-1990-1-260-7,1990,1,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,-1,r 29/6,,,,KDPI,2,Sardasht town,Niskawa near Sardasht,West Azarbaijan province,Sardasht county,36.155278,45.478889,POINT (45.478889 36.155278),181891,Iran,IRN,630,Middle East,1,1,1990-06-26 00:00:00.000,1990-06-26 00:00:00.000,0,0,0,0,0,1,0,630,
115841,IRN-1990-1-260-8.1,1990,1,Clear,1,205,205,Iran: Kurdistan,406,406,Government of Iran - KDPI,114,114,Government of Iran,164,164,KDPI,1,"""Reuters News,1990-07-12,KURDISH GUERRILLAS CLAIM TO KILL 175 IRANIAN TROOPS.""",Reuters News,1990-07-12,KURDISH GUERRILLAS CLAIM TO KILL 175 IRANIAN TROOPS.,KDPI,2,Mahabad town,"near the Kurdish towns of Mahabad, Peranshahr, Saqqez and Oshinowyeh",West Azarbaijan province,Mahabad county,36.763056,45.722222,POINT (45.722222 36.763056),182612,Iran,IRN,630,Middle East,2,2,1990-07-06 00:00:00.000,1990-07-10 00:00:00.000,0,2,0,0,2,45,2,630,
